[rosmaster.master][INFO] 2018-10-05 16:53:56,826: +PUB [/duckbot12/tag_detections_image/theora/parameter_updates] /duckbot12/apriltag_detector_node http://duckbot12:39607/
[rosmaster.master][INFO] 2018-10-05 16:53:56,876: +SERVICE [/duckbot12/image_proc_node_rectify_mono/set_parameters] /duckbot12/image_proc_node http://duckbot12:34511/
[rosmaster.master][INFO] 2018-10-05 16:53:56,890: +PARAM [/duckbot12/tag_detections_image/theora/optimize_for] by /duckbot12/apriltag_detector_node
[rosmaster.master][INFO] 2018-10-05 16:53:56,899: +PUB [/duckbot12/image_proc_node_rectify_mono/parameter_descriptions] /duckbot12/image_proc_node http://duckbot12:34511/
[rosmaster.master][INFO] 2018-10-05 16:53:56,906: +PARAM [/duckbot12/tag_detections_image/theora/target_bitrate] by /duckbot12/apriltag_detector_node
[rosmaster.master][INFO] 2018-10-05 16:53:56,912: +PUB [/duckbot12/image_proc_node_rectify_mono/parameter_updates] /duckbot12/image_proc_node http://duckbot12:34511/
[rosmaster.master][INFO] 2018-10-05 16:53:56,925: +PARAM [/duckbot12/tag_detections_image/theora/quality] by /duckbot12/apriltag_detector_node
[rosmaster.master][INFO] 2018-10-05 16:53:56,935: +PARAM [/duckbot12/image_proc_node_rectify_mono/interpolation] by /duckbot12/image_proc_node
[rosmaster.master][INFO] 2018-10-05 16:53:56,942: +PARAM [/duckbot12/tag_detections_image/theora/keyframe_frequency] by /duckbot12/apriltag_detector_node
[rosmaster.master][INFO] 2018-10-05 16:53:56,955: +PARAM [/duckbot12/tag_detections_image/theora/optimize_for] by /duckbot12/apriltag_detector_node
[rosmaster.master][INFO] 2018-10-05 16:53:56,962: +PARAM [/duckbot12/image_proc_node_rectify_mono/interpolation] by /duckbot12/image_proc_node
[rosmaster.master][INFO] 2018-10-05 16:53:56,978: +PARAM [/duckbot12/tag_detections_image/theora/target_bitrate] by /duckbot12/apriltag_detector_node
[rosmaster.master][INFO] 2018-10-05 16:53:56,989: +PUB [/duckbot12/image_rect/compressedDepth] /duckbot12/image_proc_node http://duckbot12:34511/
[rosmaster.master][INFO] 2018-10-05 16:53:56,995: +PARAM [/duckbot12/tag_detections_image/theora/quality] by /duckbot12/apriltag_detector_node
